Industry,count
-1,353
IT Services,325
Staffing & Outsourcing,323
Health Care Services & Hospitals,151
Consulting,111
Computer Hardware & Software,111
Investment Banking & Asset Management,78
Enterprise Software & Network Solutions,69
Internet,65
Advertising & Marketing,51
Banks & Credit Unions,51
Insurance Carriers,47
Colleges & Universities,40
Accounting,39
Biotech & Pharmaceuticals,33
Social Assistance,23
Aerospace & Defense,22
Video Games,20
Lending,15
State & Regional Agencies,15
